filename	ATTRIBUTE_Organism	ATTRIBUTE_Pool	ATTRIBUTE_Time_point	ATTRIBUTE_Gut_section	ATTRIBUTE_Con/Inf
92.mzXML	T.cruzi_epi	2	0	PM	Inf
93.mzXML	T.cruzi_epi	2	0	H	Inf
94.mzXML	T.cruzi_epi	3	0	AM	Inf
95.mzXML	T.cruzi_epi	3	0	PM	Inf
96.mzXML	T.cruzi_epi	3	0	H	Inf
97.mzXML	T.cruzi_epi	1	1	AM	Inf
98.mzXML	T.cruzi_epi	1	1	PM	Inf
99.mzXML	T.cruzi_epi	1	1	H	Inf
100.mzXML	T.cruzi_epi	2	1	AM	Inf
101.mzXML	T.cruzi_epi	2	1	PM	Inf
102.mzXML	T.cruzi_epi	2	1	H	Inf
103.mzXML	T.cruzi_epi	3	1	AM	Inf
104.mzXML	T.cruzi_epi	3	1	PM	Inf
105.mzXML	T.cruzi_epi	3	1	H	Inf
106.mzXML	T.cruzi_epi	1	2	AM	Inf
107.mzXML	T.cruzi_epi	1	2	PM	Inf
108.mzXML	T.cruzi_epi	1	2	H	Inf
109.mzXML	T.cruzi_epi	2	2	AM	Inf
110.mzXML	T.cruzi_epi	2	2	PM	Inf
111.mzXML	T.cruzi_epi	2	2	H	Inf
112.mzXML	T.cruzi_epi	3	2	AM	Inf
113.mzXML	T.cruzi_epi	3	2	PM	Inf
114.mzXML	T.cruzi_epi	3	2	H	Inf
115.mzXML	T.cruzi_epi	1	3	AM	Inf
116.mzXML	T.cruzi_epi	1	3	PM	Inf
117.mzXML	T.cruzi_epi	1	3	H	Inf
118.mzXML	T.cruzi_epi	2	3	AM	Inf
119.mzXML	T.cruzi_epi	2	3	PM	Inf
120.mzXML	T.cruzi_epi	2	3	H	Inf
121.mzXML	T.cruzi_epi	3	3	AM	Inf
122.mzXML	T.cruzi_epi	3	3	PM	Inf
123.mzXML	T.cruzi_epi	3	3	H	Inf
124.mzXML	T.cruzi_epi	1	4	AM	Inf
125.mzXML	T.cruzi_epi	1	4	PM	Inf
126.mzXML	T.cruzi_epi	1	4	H	Inf
127.mzXML	T.cruzi_epi	2	4	AM	Inf
128.mzXML	T.cruzi_epi	2	4	PM	Inf
129.mzXML	T.cruzi_epi	2	4	H	Inf
130.mzXML	T.cruzi_epi	3	4	AM	Inf
