,col_name,feature_importance_vals
1196,1196,259.92796684503867
787,787,187.83155621148646
187,187,85.7979501536768
1002,1002,70.79220563100345
263,263,52.315631536706036
1516,componentindex_133.0,52.22903781100173
1549,time_point,51.46846448736899
161,161,44.40812786276347
976,976,42.692105776103716
1200,1200,41.98033169949114
717,717,35.408105225030475
260,260,32.586066713682
956,956,30.72972730045269
16,16,28.000365896847473
952,952,27.509015447537013
63,63,22.93962519318706
81,81,21.987623074154953
112,112,21.896759610547047
1554,T.cruzi_epi,21.785876705178577
189,189,20.90925444481669
959,959,20.312049649212756
1494,componentindex_76.0,19.8335280540343
205,205,18.38550383053368
636,636,16.364396785073335
579,579,16.063278050672697
